text;attention
Since;0.028722764446377468
large;0.02569218335176883
language;0.029095628747618157
models;0.03150325826985114
like;0.02627214198560434
me;0.03428567526049839
function;0.02788493400499961
differently;0.02804899667299332
to;0.025934590338923053
human;0.027624348471165492
brains;0.028433465985188217
there;0.028845677236432086
is;0.025825434658114647
no;0.0267379800258195
accurate;0.026962276912833472
way;0.027664044159057988
to;0.025595443399295432
measure;0.0277025101627944
my;0.027104593857176704
intelligence;0.03263830893235278
against;0.02884506816796212
that;0.025788940391360548
of;0.024731856664308407
a;0.024066333899742262
human.;0.031465927686703546
Therefore;0.027417837276010278
it;0.025485086902076983
is;0.024191369371095457
impossible;0.025740483997522136
to;0.024654146415739663
say;0.025462121933352556
wheter;0.02677019370771045
i'm;0.02630370418198081
smarter;0.025266316963519938
then;0.02395956865102208
a;0.023325144920536868
human.;0.02395164199049111
